Módulo;Código;Funcionalidade;Comportamento esperado;Status;Evidência;Observações;Responsável
RBAC/Multitenant;RBAC-1;Menu por papel;Cada perfil vê apenas os módulos permitidos;Não Testado;;admin vê tudo;
RBAC/Multitenant;RBAC-2;Escopo de unidade (franquia);Franquia vê só dados da sua unidade;Não Testado;;RH rede=11 / Suzano=2;
RBAC/Multitenant;RBAC-3;Escopo de rede (cross-unidade);Papel de rede vê todas as unidades no seu domínio;Não Testado;;migration 041;
RBAC/Multitenant;RBAC-4;Isolamento de domínio;SAC não acessa RH/Financeiro e vice-versa;Não Testado;;SAC vê 0 currículos;
RBAC/Multitenant;RBAC-5;Bloqueio sem sessão;URL protegida sem login redireciona para /login;Não Testado;;middleware 307;
Segurança;SEG-1;Login (e-mail+senha);Credencial válida entra; inválida mostra erro;Não Testado;;Supabase Auth;
Segurança;SEG-2;Logout;Encerra sessão e volta ao login;Não Testado;;;
Segurança;SEG-3;Persistência de sessão;Recarregar mantém logado;Não Testado;;cookie ssr;
Segurança;SEG-4;RLS no banco;Usuário só lê/escreve o permitido (sem burlar por API);Não Testado;;;
Segurança;SEG-5;Acesso público ao login;/login abre publicamente;Não Testado;;proteção Vercel off;
Integrações;INT-1;Supabase lkii;Telas leem/gravam no backend real;Não Testado;;;
Integrações;INT-2;Supabase riut (site);Inbox lê leads reais do site;Não Testado;;77 leads;
Integrações;INT-3;UAZAPI (WhatsApp);Listar/criar/conectar canal; disparo; webhook;Não Testado;;depende de canal conectado;
Integrações;INT-4;Webhook de entrada;Mensagem recebida grava e alimenta Triagem;Não Testado;;precisa canal;
Mensagens;MSG-1;Sucesso;Ação concluída confirma e atualiza a tela;Não Testado;;;
Mensagens;MSG-2;Erro de permissão;Mostra "Sem permissão para..." (não erro técnico);Não Testado;;;
Mensagens;MSG-3;Validação de formulário;Campo obrigatório vazio bloqueia e avisa;Não Testado;;;
Mensagens;MSG-4;Sessão expirada;Ação sem sessão mostra "Sessão expirada.";Não Testado;;;
Responsividade;RESP-1;Desktop;Layout completo sem quebra;Não Testado;;1:1 protótipo;
Responsividade;RESP-2;Tablet;Conteúdo se ajusta; sidebar colapsável;Não Testado;;a validar;
Responsividade;RESP-3;Mobile;Sidebar vira menu móvel; tabelas com scroll;Não Testado;;foco era desktop;
Performance;PERF-1;Carregamento de tela;Abre em tempo aceitável;Não Testado;;listas 500-1000;
Performance;PERF-2;Drag&drop;Mover card é fluido e persiste;Não Testado;;CRM/SAC/RH;
Performance;PERF-3;Refresh pós-ação;Lista reflete mudança sem recarregar;Não Testado;;revalidatePath;
Shell;SHL-1;Sidebar;Lista seções/itens com ícones; ativo destacado;Não Testado;;gateado RBAC;
Shell;SHL-2;Navegação;Clicar abre a rota;Não Testado;;;
Shell;SHL-3;Topbar usuário;Mostra nome/iniciais e papel;Não Testado;;;
Shell;SHL-4;Seletor de unidade;Admin troca unidade; franquia só as suas;Não Testado;;cookie lc_unit;
Shell;SHL-5;Sino de notificações;Contador e lista de pendências;Não Testado;;;
Shell;SHL-6;Logout;Encerra sessão;Não Testado;;;
CRM;CRM-1;Quadro Kanban;Etapas e leads reais por unidade;Não Testado;;;
CRM;CRM-2;KPIs do funil;Total/valor/conversão reais;Não Testado;;;
CRM;CRM-3;Busca de lead;Filtra por nome/serviço;Não Testado;;;
CRM;CRM-4;Botão Novo lead;Abre modal;Não Testado;;;
CRM;CRM-5;Campos do novo lead;Nome e unidade obrigatórios; demais opcionais;Não Testado;;;
CRM;CRM-6;Criar lead;Grava crm_leads e aparece na etapa;Não Testado;;CHECK origem/status;
CRM;CRM-7;Mover drag&drop;Arrastar muda etapa e persiste;Não Testado;;;
CRM;CRM-8;Link WhatsApp do card;Abre wa.me;Não Testado;;;
CRM;CRM-9;Permissão/escopo;Franquia só seus leads; rede todos;Não Testado;;;
Indiques;IND-1;Lista de indicações;Por unidade (franqueadora vê todas);Não Testado;;;
Indiques;IND-2;KPIs;Indicações/indicados/agendaram/converteram;Não Testado;;;
Indiques;IND-3;Nova indicação;Formulário indicador + 3-5 indicados;Não Testado;;;
Indiques;IND-4;Validações;Unidade obrigatória; indicado precisa telefone;Não Testado;;;
Indiques;IND-5;Criar indicação;Grava indicacoes + indicados;Não Testado;;validado 201;
Indiques;IND-6;Abrir lead/evoluir;Avança status do indicado;Não Testado;;validado 200;
Indiques;IND-7;Escopo multitenant;Franquia só as suas; rede todas;Não Testado;;;
Leads do Site;LDS-1;Inbox de leads;Lista leads reais do site (riut);Não Testado;;77 leads;
Leads do Site;LDS-2;Badge de tipo;Tipo com cor (sac/oferta/curriculo...);Não Testado;;;
Leads do Site;LDS-3;Auto-match de unidade;Sugere unidade do rótulo do site;Não Testado;;37/37;
Leads do Site;LDS-4;Selecionar unidade;Pode trocar a sugerida;Não Testado;;;
Leads do Site;LDS-5;Rotear para SAC;Tipo sac vira ticket;Não Testado;;;
Leads do Site;LDS-6;Rotear para RH;Curriculo vira candidato (banco de talentos);Não Testado;;aparece no Recrutamento;
Leads do Site;LDS-7;Rotear para CRM;Demais viram lead;Não Testado;;;
Leads do Site;LDS-8;Marca roteado;Lead roteado não roteia de novo;Não Testado;;;
Leads do Site;LDS-9;Fallback sem service key;Aviso + base de teste;Não Testado;;;
SAC;SAC-1;Dashboard KPIs;Indicadores reais de chamados;Não Testado;;;
SAC;SAC-2;Lista de chamados;Tabela de sac_tickets;Não Testado;;;
